club,loft_deg,full_ball_speed_mph,full_club_speed_mph,smash_factor,base_launch_angle_deg,base_spin_rate_rpm,base_carry_yards,base_lift_coefficient
Driver,9,171,115,1.486956522,10.4,2545,282,0.17079
3 Wood,15,162,110,1.472727273,9.3,3663,249,0.18
5 Wood,18,156,106,1.471698113,9.7,4322,236,0.18
3 Iron,21,145,100,1.45,10.3,4404,218,0.18
4 Iron,24,140,98,1.428571429,10.8,4782,209,0.18
5 Iron,27,135,96,1.40625,11.9,5280,199,0.18
6 Iron,30,130,94,1.382978723,14.0,6204,188,0.18
7 Iron,34,123,92,1.336956522,16.1,7124,176,0.1384
8 Iron,38,118,89,1.325842697,17.8,8078,164,0.18
9 Iron,42,112,87,1.287356322,20.0,8793,152,0.18
PW,46,104,84,1.238095238,23.7,9316,142,0.18
